vcn,byte,bit,set start,set end,clear start,clear end
494,61,6,11000000,01111111,00111111,10000000
495,61,7,10000000,11111111,011111111,00000000
496,62,0,11111111,00000001,00000000,11111110
497,62,1,11111110,00000011,00000001,11111100
498,62,2,11111100,00000111,00000011,11111000
499,62,3,11111000,00001111,00000111,11110000
500,62,4,11110000,00011111,00001111,11100000
501,62,5,11100000,00111111,00011111,11000000
502,62,6,11000000,01111111,00111111,10000000
503,62,7,10000000,11111111,011111111,00000000
504,63,0,11111111,00000001,00000000,11111110
505,63,1,11111110,00000011,00000001,11111100
506,63,2,11111100,00000111,00000011,11111000
507,63,3,11111000,00001111,00000111,11110000
508,63,4,11110000,00011111,00001111,11100000
509,63,5,11100000,00111111,00011111,11000000
510,63,6,11000000,01111111,00111111,10000000
511,63,7,10000000,11111111,011111111,00000000
